Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-26.763,3, 0.1042167,0.03249,15084, Foreign,
12-21-2022-22-27-24.227,3, 2.6409389,0.039542,6348, Foreign,
12-21-2022-22-27-26.863,3, 0.1027201,0.034009,15084, Foreign,
12-21-2022-22-27-26.964,3, 0.1045483,0.032232,15084, Foreign,
12-21-2022-22-27-25.855,3, 1.3090605,0.041199,15084, Foreign,
12-21-2022-22-27-27.064,3, 0.1214561,0.03586,15084, Foreign,
12-21-2022-22-27-27.165,3, 0.132816,0.041463,15084, Foreign,
12-21-2022-22-27-25.040,3, 2.2687798,0.038649,6348, Foreign,
12-21-2022-22-27-27.265,3, 0.127558,0.041089,15084, Foreign,
12-21-2022-22-27-26.260,3, 1.1373197,0.039497,6348, Foreign,
12-21-2022-22-27-27.466,3, 0.1187681,0.038103,15084, Foreign,
12-21-2022-22-27-27.566,3, 0.1257476,0.041292,15084, Foreign,
12-21-2022-22-27-27.666,3, 0.1210708,0.044898,15084, Foreign,
12-21-2022-22-27-27.766,3, 0.1815672,0.0376,15084, Foreign,
12-21-2022-22-27-27.967,3, 0.1807019,0.03926,15084, Foreign,
12-21-2022-22-27-28.068,3, 0.1110003,0.036505,15084, Foreign,
12-21-2022-22-27-24.738,3, 3.6373429,0.038114,6348, Foreign,
12-21-2022-22-27-27.866,3, 0.5113629,0.040424,15084, Foreign,
12-21-2022-22-27-28.169,3, 0.2585717,0.036696,15084, Foreign,
12-21-2022-22-27-28.369,3, 0.1495166,0.04087,15084, Foreign,
12-21-2022-22-27-28.469,3, 0.3317063,0.045886,15084, Foreign,
12-21-2022-22-27-27.365,3, 1.485084,0.048871,6348, Foreign,
12-21-2022-22-27-28.570,3, 0.441028,0.039392,15115, Foreign,
12-21-2022-22-27-28.972,3, 0.1443689,0.048732,15084, Foreign,
12-21-2022-22-27-28.671,3, 0.5062754,0.046634,15084, Foreign,
12-21-2022-22-27-29.072,3, 0.1240227,0.040235,15084, Foreign,
12-21-2022-22-27-29.172,3, 0.4716098,0.040849,15084, Foreign,
12-21-2022-22-27-29.576,3, 0.1334838,0.047761,15084, Foreign,
12-21-2022-22-27-29.676,3, 0.1156445,0.037319,15084, Foreign,
12-21-2022-22-27-29.776,3, 0.1692663,0.036081,15084, Foreign,
12-21-2022-22-27-28.771,3, 1.3883128,0.036609,6348, Foreign,
12-21-2022-22-27-30.078,3, 0.1653145,0.038561,15084, Foreign,
12-21-2022-22-27-30.185,3, 0.1232716,0.037697,15084, Foreign,
12-21-2022-22-27-29.273,3, 1.1026023,0.04206,15084, Foreign,
12-21-2022-22-27-28.269,3, 2.2920298,0.035813,6348, Foreign,
12-21-2022-22-27-30.488,3, 0.1180055,0.035518,15084, Foreign,
12-21-2022-22-27-30.285,3, 0.4712965,0.053291,15084, Foreign,
12-21-2022-22-27-29.374,3, 1.3833755,0.032825,6348, Foreign,
12-21-2022-22-27-30.793,3, 0.1131541,0.037405,15084, Foreign,
12-21-2022-22-27-30.689,3, 0.2422357,0.049282,15084, Foreign,
12-21-2022-22-27-29.877,3, 1.130465,0.036192,6348, Foreign,
12-21-2022-22-27-30.589,3, 0.4255113,0.044128,15084, Foreign,
12-21-2022-22-27-30.894,3, 0.1444341,0.042071,15084, Foreign,
12-21-2022-22-27-29.978,3, 1.1428705,0.046459,6348, Foreign,
12-21-2022-22-27-30.994,3, 0.1461721,0.044855,15084, Foreign,
