Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-24.416,1, 0.1629514,0.036937,65520, SelfUp,4, 
12-21-2022-23-05-24.523,1, 0.1629514,0.036937,65520, SelfUp,4, 
12-21-2022-23-05-24.315,1, 0.1629514,0.036937,65520, SelfUp,4, 
12-21-2022-23-05-24.624,1, 0.1629514,0.036937,65520, SelfUp,4, 
12-21-2022-23-05-24.724,1, 0.0656877,0.036937,65520, SelfUp,4, 
12-21-2022-23-05-24.724,1, 0.0681963,0.035936,584309, SelfUp,2, 
12-21-2022-23-05-24.624,1, 0.1713498,0.035497,35403, SelfDown,2, 
12-21-2022-23-05-24.624,1, 0.1815366,0.034279,46109, SelfDown,0, 
12-21-2022-23-05-24.724,1, 0.0929481,0.032603,58298, SelfDown,1, 
12-21-2022-23-05-24.724,1, 0.095348,0.034279,46109, SelfDown,0, 
12-21-2022-23-05-24.724,1, 0.1155087,0.030337,40536, SelfDown,2, 
12-21-2022-23-05-24.724,1, 0.1400762,0.034641,33764, SelfDown,3, 
12-21-2022-23-05-24.824,1, 0.045075,0.040238,1170432, SelfUp,1, 
12-21-2022-23-05-24.824,1, 0.0481088,0.039064,365064, SelfUp,3, 
12-21-2022-23-05-24.824,1, 0.051794,0.039668,590331, SelfUp,2, 
12-21-2022-23-05-24.824,1, 0.0561556,0.041604,133039, SelfUp,4, 
12-21-2022-23-05-24.824,1, 0.0693819,0.039584,62024, SelfDown,1, 
12-21-2022-23-05-24.824,1, 0.083896,0.03663,50622, SelfDown,0, 
12-21-2022-23-05-24.824,1, 0.1047299,0.035212,1170432, SelfUp,0, 
12-21-2022-23-05-24.924,1, 0.0389313,0.035631,1170432, SelfUp,0, 
12-21-2022-23-05-24.824,1, 0.1707769,0.036049,40544, SelfDown,2, 
12-21-2022-23-05-24.924,1, 0.0942368,0.040498,594737, SelfUp,2, 
12-21-2022-23-05-24.924,1, 0.095894,0.038514,261523, SelfUp,4, 
12-21-2022-23-05-24.824,1, 0.2215018,0.036364,36279, SelfDown,3, 
12-21-2022-23-05-24.924,1, 0.1216024,0.035536,40970, SelfDown,2, 
12-21-2022-23-05-24.924,1, 0.1243598,0.036443,50654, SelfDown,0, 
12-21-2022-23-05-25.031,1, 0.0331222,0.035602,601002, SelfUp,2, 
12-21-2022-23-05-25.031,1, 0.0331222,0.03536,1170432, SelfUp,0, 
12-21-2022-23-05-25.031,1, 0.0331222,0.038315,309415, SelfUp,4, 
12-21-2022-23-05-25.031,1, 0.0358814,0.045449,1170432, SelfUp,1, 
12-21-2022-23-05-24.924,1, 0.1424709,0.045449,1170432, SelfUp,1, 
12-21-2022-23-05-24.924,1, 0.1483396,0.034279,38595, SelfDown,3, 
12-21-2022-23-05-24.924,1, 0.1500749,0.030625,65564, SelfDown,1, 
12-21-2022-23-05-25.031,1, 0.0466998,0.030625,65564, SelfDown,1, 
12-21-2022-23-05-25.031,1, 0.0497693,0.028259,58149, SelfDown,0, 
12-21-2022-23-05-25.031,1, 0.0863684,0.030544,47414, SelfDown,2, 
12-21-2022-23-05-25.131,1, 0.0522908,0.036226,451752, SelfUp,4, 
12-21-2022-23-05-25.131,1, 0.0556389,0.030764,1170432, SelfUp,0, 
12-21-2022-23-05-25.131,1, 0.0705753,0.031566,612692, SelfUp,2, 
12-21-2022-23-05-24.924,1, 0.3131842,0.039663,367897, SelfUp,3, 
12-21-2022-23-05-25.131,1, 0.1341993,0.029576,78204, SelfDown,1, 
12-21-2022-23-05-25.131,1, 0.1367188,0.034485,1170432, SelfUp,1, 
12-21-2022-23-05-25.232,1, 0.042656,0.033497,616380, SelfUp,2, 
12-21-2022-23-05-25.232,1, 0.0439344,0.038978,544482, SelfUp,4, 
12-21-2022-23-05-25.232,1, 0.0439344,0.038504,1170432, SelfUp,0, 
12-21-2022-23-05-25.031,1, 0.249099,0.039793,368146, SelfUp,3, 
12-21-2022-23-05-25.232,1, 0.0480633,0.039793,368146, SelfUp,3, 
12-21-2022-23-05-25.131,1, 0.1486122,0.039793,368146, SelfUp,3, 
12-21-2022-23-05-25.131,1, 0.1707452,0.037755,64658, SelfDown,0, 
12-21-2022-23-05-25.131,1, 0.1716894,0.033775,48562, SelfDown,2, 
12-21-2022-23-05-25.232,1, 0.0941305,0.035648,1170432, SelfUp,1, 
12-21-2022-23-05-25.031,1, 0.2963309,0.033189,44309, SelfDown,3, 
12-21-2022-23-05-25.131,1, 0.1963991,0.033189,44309, SelfDown,3, 
12-21-2022-23-05-25.232,1, 0.1020478,0.034973,64659, SelfDown,0, 
12-21-2022-23-05-25.232,1, 0.1048511,0.032701,78209, SelfDown,1, 
12-21-2022-23-05-25.232,1, 0.1057129,0.029733,52836, SelfDown,2, 
12-21-2022-23-05-25.232,1, 0.1085757,0.033189,44309, SelfDown,3, 
12-21-2022-23-05-25.332,1, 0.0324907,0.031919,629079, SelfUp,2, 
12-21-2022-23-05-25.332,1, 0.0336158,0.028749,66926, SelfDown,0, 
12-21-2022-23-05-25.332,1, 0.0338191,0.034086,371598, SelfUp,3, 
12-21-2022-23-05-24.624,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-25.031,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-24.315,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-24.924,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-25.131,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-25.232,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-25.332,1, 0.0364877,0.033318,592015, SelfUp,4, 
12-21-2022-23-05-24.724,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-25.332,1, 0.0364877,0.034372,1170432, SelfUp,0, 
12-21-2022-23-05-24.416,1, 0.0833357,0.034197,6799, SelfDown,4, 
12-21-2022-23-05-25.332,1, 0.0508363,0.033272,65520, SelfUp,5, 
12-21-2022-23-05-25.332,1, 0.0508363,0.035679,1170432, SelfUp,1, 
12-21-2022-23-05-24.523,1, 0.1448918,0.034825,6939, SelfDown,4, 
12-21-2022-23-05-24.824,1, 0.1448918,0.034825,6939, SelfDown,4, 
12-21-2022-23-05-25.332,1, 0.1149752,0.032249,37603, SelfDown,2, 
12-21-2022-23-05-25.332,1, 0.121555,0.032843,54936, SelfDown,1, 
12-21-2022-23-05-25.332,1, 0.1255507,0.035176,15375, SelfDown,5, 
12-21-2022-23-05-25.436,1, 0.0363751,0.035643,163787, SelfUp,5, 
12-21-2022-23-05-25.436,1, 0.0363751,0.035797,644293, SelfUp,2, 
12-21-2022-23-05-25.436,1, 0.039986,0.035331,1170432, SelfUp,1, 
12-21-2022-23-05-25.436,1, 0.0681414,0.036652,48530, SelfDown,0, 
12-21-2022-23-05-25.436,1, 0.071669,0.044186,1170432, SelfUp,0, 
12-21-2022-23-05-25.436,1, 0.0744486,0.03457,55532, SelfDown,1, 
12-21-2022-23-05-25.436,1, 0.0931845,0.035897,16112, SelfDown,5, 
12-21-2022-23-05-25.436,1, 0.0931845,0.03783,438238, SelfUp,4, 
12-21-2022-23-05-25.436,1, 0.0939032,0.037222,375789, SelfUp,3, 
12-21-2022-23-05-25.538,1, 0.0292288,0.035841,377055, SelfUp,3, 
12-21-2022-23-05-25.538,1, 0.0292489,0.0339,1170432, SelfUp,1, 
12-21-2022-23-05-25.538,1, 0.0292489,0.034313,321813, SelfUp,5, 
12-21-2022-23-05-25.332,1, 0.2441778,0.034592,7643, SelfDown,4, 
12-21-2022-23-05-25.538,1, 0.0417834,0.037031,438772, SelfUp,4, 
12-21-2022-23-05-25.538,1, 0.0450059,0.036456,655006, SelfUp,2, 
